#/////////////////////////////////////,,,,
# -----START OF METADATA -----,,,,
# ------------------------------------------------,,,,
# TITLE: OASV2 Strongylocentrotus purpuratus Plutei Body Lengths,,,,
# DATE: October 2016,,,,
# AUTHOR: Lauren Ashlock,,,,
# ------------------------------------------------,,,,
# AUTHOR EMAIL: Lauren.Ashlock@uvm.edu,,,,
# AUTHOR ADDRESS: 109 Carrigan Drive; Marsh Life Sci Bldg; Rm. 324; Burlington; VT 05405",,,,
# AUTHOR WEBSITE: TBD,,,,
# ------------------------------------------------,,,,
# OWNERSHIP: Dr. Melissa Pespeni; University of Vermont",,,,
# COLLABORATORS: April Makukhov; Heidi Hargarten; Kate Huber; Melissa Pespeni",,,,
# FUNDING SOURCES: NSF DGE-1451866 for ADM; University of Vermont",,,,
# REPOSITORY: One or more lines for GitHub; Dryad; or permanent web repositories where data set can be accessed",,,,
# CITATIONS: One or more lines for publications that cite or use these data,,,,
# ------------------------------------------------,,,,
# SAMPLING LOCATIONS: Adult purple urchins were collected from San Diego; CA and were spawned in the Pespeni marine lab (14 females & 11 males) to make these larvae",,,,
# SAMPLING TIMES: These data are from 7-Day old plutei purple urchin larvae,,,,
# VARIABLE DESCRIPTION: ID = individual larval ID; pH = mean pH treatment; condition = static or variable pH treatment; vessel_ID = vessel replicate that larvae came from; Body_Length = entire length of each pluteus larvae (in um)",,,,
# MISSING DATA: One or more lines for each variable describing the source of NA values throughout,,,,
# ------------------------------------------------,,,,
# DATA TRACK CHANGES LOG (use this section to record any changes to the data set after it is created),,,,
# DATE:              # CHANGES:,,,,
# DATE:              # CHANGES:,,,,
# DATE:              # CHANGES:,,,,
#DATE:              #CHANGES:,,,,
# ------------------------------------------------,,,,
# ----- END OF METADATA -----,,,,
#/////////////////////////////////////,,,,
#,,,,
#,,,,
# ----- START OF DATA -----,,,,
#,,,,
ID,pH,Condition,Vessel_ID,Body_Length
L1,7,static,V02,184.434
L2,7,static,V02,227.423
L3,7,static,V02,152.984
L4,7,static,V02,174.072
L5,7,static,V02,164.587
L6,7,static,V02,177.44
L7,7,static,V02,184.284
L8,7,static,V02,190.382
L9,7,static,V02,167.177
L10,7,static,V02,196.431
L11,7,static,V02,141.305
L12,7,static,V02,195.555
L13,7,static,V02,173.201
L14,7,static,V02,247.204
L15,7,static,V02,200.108
L16,7,static,V02,167.894
L17,7,static,V02,225.632
L18,7,static,V02,170.179
L19,7,static,V02,171.545
L20,7,static,V02,163.32
L21,7,static,V02,161.875
L22,7,static,V02,169.414
L23,7,static,V02,179.193
L24,7,static,V02,168.377
L25,7,static,V02,186.294
L26,7,static,V02,180.735
L27,7,static,V02,169.96
L28,7,static,V02,171.061
L29,7,static,V02,211.795
L30,7,static,V02,164.955
L31,7,static,V02,160.098
L32,7,static,V02,167.655
L33,7,static,V02,190.543
L34,7,static,V02,205.216
L35,7,static,V02,182.279
L36,7,static,V02,171.876
L37,7,static,V02,177.85
L38,7,static,V02,206.469
L39,7,static,V02,150.503
L40,7,static,V02,176.94
L41,7,static,V02,179.589
L42,7,static,V02,128.097
L43,7,static,V02,187.557
L44,7,static,V02,212.177
L45,7,static,V02,187.262
L46,7,static,V02,190.865
L47,7,static,V02,135.34
L48,7,static,V02,183.921
L49,7,static,V02,170.655
L50,7,static,V02,154.026
L51,7,static,V02,169.234
L52,7,static,V02,192.151
L53,7,static,V02,164.412
L54,7,static,V02,162.468
L55,7,static,V02,207.327
L56,7,static,V03,133.759
L57,7,static,V03,166.735
L58,7,static,V03,152.68
L59,7,static,V03,183.841
L60,7,static,V03,151.029
L61,7,static,V03,153.309
L62,7,static,V03,187.556
L63,7,static,V04,164.839
L64,7,static,V04,146.893
L65,7,static,V04,177.346
L66,7,static,V04,134.758
L67,7,variable,V08,224.959
L68,7,variable,V08,189.505
L69,7,variable,V08,248.575
L70,7,variable,V08,195.785
L71,7,variable,V08,243.962
L72,7,variable,V08,198.694
L73,7,variable,V08,134.414
L74,7,variable,V08,227.699
L75,7,variable,V08,186.73
L76,7,variable,V08,242.976
L77,7,variable,V08,211.569
L78,7,variable,V08,208.585
L79,7,variable,V08,222.883
L80,7,variable,V08,192.219
L81,7,variable,V08,200.749
L82,7,variable,V08,248.632
L83,7,variable,V08,222.58
L84,7,variable,V08,215.421
L85,7,variable,V08,201.573
L86,7,variable,V08,192.157
L87,7,variable,V10,212.19
L88,7,variable,V10,231.445
L89,7,variable,V10,195.253
L90,7,variable,V10,201.933
L91,7,variable,V10,216.574
L92,7,variable,V10,197.75
L93,7,variable,V10,210.983
L94,7,variable,V10,219.36
L95,7,variable,V10,194.151
L96,7,variable,V10,223.56
L97,7,variable,V10,185.429
L98,7,variable,V10,206.685
L99,7,variable,V10,223.514
L100,7,variable,V10,164.642
L101,7,variable,V10,218.886
L102,7,variable,V10,202.007
L103,7,variable,V10,208.009
L104,7,variable,V10,175.262
L105,7,variable,V10,199.123
L106,7,variable,V11,216.473
L107,7,variable,V11,196.642
L108,7,variable,V11,222.867
L109,7,variable,V11,238.211
L110,7,variable,V11,232.595
L111,7,variable,V11,214.897
L112,7,variable,V11,266.076
L113,7,variable,V11,192.708
L114,7,variable,V11,212.937
L115,7,variable,V11,198.78
L116,7,variable,V11,167.19
L117,7,variable,V11,217.889
L118,7,variable,V11,198.773
L119,7,variable,V11,175.46
L120,7,variable,V11,209.244
L121,7,variable,V11,224.552
L122,7,variable,V11,223.394
L123,7,variable,V11,162.466
L124,7,variable,V11,241.49
L125,7,variable,V12,187.396
L126,7,variable,V12,229.073
L127,7,variable,V12,148.226
L128,7,variable,V12,191.922
L129,7,variable,V12,223.213
L130,7,variable,V12,198.554
L131,7,variable,V12,233.326
L132,7,variable,V12,188.281
L133,7,variable,V12,206.166
L134,7,variable,V12,201.755
L135,7,variable,V12,219.343
L136,7,variable,V12,213.031
L137,7,variable,V12,222.681
L138,7,variable,V12,147.512
